Cancel Date,Client code,Service,Service Price,Staff,Booking Date,Canceled By,Cancel Description,Days
2024-09-18,CUST788,HAIRSTYLING,25,Sarah Wilson,2024-09-18,Amit Patel,Double-booked,0
2024-05-08,CUST367,PEDICURE,30,Priya Sharma,2023-12-04,Li Wei,Rescheduled,156
2024-05-05,CUST317,SKINCARE,80,Kunal Joshi,2024-03-07,Yuki Tanaka,Service issue,59
2024-07-14,CUST363,SPATREATMENT,55,Priya Sharma,2024-05-18,Amit Patel,Staff unavailable,57
2024-10-07,CUST265,WAXING,40,Sarah Wilson,2024-10-07,Priya Sharma,Staff unavailable,0
2024-04-19,CUST164,SKINCARE,70,Kunal Joshi,2023-11-06,Sarah Wilson,Service issue,165
2024-09-20,CUST645,MASSAGE,35,John Doe,2024-09-20,Michael Brown,Emergency closure,0
2024-03-16,CUST755,HAIRSTYLING,30,Jane Smith,2024-03-03,Anjali Singh,Service issue,13
2024-03-21,CUST002,BODYSCRUB,70,Sofia Chen,2024-03-21,Priya Sharma,Staff unavailable,0
2024-08-15,CUST554,MANICURE,30,Kunal Joshi,2024-02-28,Yuki Tanaka,Double-booked,169
2024-09-23,CUST853,HAIRSTYLING,45,Takeshi Yamada,2024-05-20,John Doe,Client no-show,126
2024-06-28,CUST187,SPATREATMENT,40,Kunal Joshi,2024-06-28,Anjali Singh,Client no-show,0
2023-12-18,CUST213,SPATREATMENT,35,Emily Davis,2023-12-18,Amit Patel,Service issue,0
2024-10-07,CUST121,WAXING,80,Anjali Singh,2024-06-10,Jane Smith,Client canceled,119
2024-08-21,CUST864,MASSAGE,60,Emily Davis,2024-08-21,Kunal Joshi,Service issue,0
2024-03-09,CUST196,PEDICURE,100,Sofia Chen,2024-03-09,Emily Davis,Emergency closure,0
2024-04-04,CUST843,WAXING,80,Sofia Chen,2024-03-18,Takeshi Yamada,Service issue,17
2024-03-25,CUST271,WAXING,60,Jane Smith,2024-03-18,Sofia Chen,Client no-show,7
2024-06-29,CUST166,MANICURE,55,Sofia Chen,2024-01-18,Anjali Singh,Staff unavailable,163
2024-05-11,CUST131,HAIRCOLOR,85,Li Wei,2023-12-06,Takeshi Yamada,Service issue,157
2024-04-12,CUST447,MASSAGE,120,Kunal Joshi,2023-12-19,Takeshi Yamada,Staff unavailable,115
2024-07-05,CUST342,FACIAL,120,Kunal Joshi,2023-11-22,Amit Patel,Staff unavailable,226
2024-07-10,CUST097,WAXING,120,John Doe,2024-02-22,Emily Davis,Client canceled,139
2024-05-15,CUST419,NAILART,25,Amit Patel,2024-04-26,Ravi Kumar,Staff unavailable,19
2024-06-24,CUST692,MAKEUP,15,Sofia Chen,2024-04-20,Michael Brown,Client no-show,65
2024-08-12,CUST745,HAIRCOLOR,50,Emily Davis,2024-07-05,Takeshi Yamada,Double-booked,38
2024-05-28,CUST158,FACIAL,50,Sofia Chen,2024-05-28,Mei Ling,Double-booked,0
2024-07-19,CUST136,NAILART,120,Priya Sharma,2024-02-29,Yuki Tanaka,Rescheduled,141
2024-06-28,CUST348,MASSAGE,100,John Doe,2024-06-28,Sarah Wilson,Emergency closure,0
2024-01-11,CUST920,HAIRCUT,35,Li Wei,2023-12-06,Emily Davis,Service issue,36
2024-08-09,CUST135,NAILART,40,Li Wei,2024-08-09,Jane Smith,Emergency closure,0
2024-08-16,CUST016,BODYSCRUB,35,Mei Ling,2024-03-25,Li Wei,Client no-show,144
2024-02-22,CUST123,HAIRCOLOR,40,Kunal Joshi,2024-02-22,Jane Smith,Staff unavailable,0
2024-10-23,CUST351,SKINCARE,35,Li Wei,2024-10-23,Emily Davis,Double-booked,0
2024-02-09,CUST415,NAILART,15,Kunal Joshi,2024-01-28,Jane Smith,Emergency closure,12
2023-11-08,CUST076,EYEBROWTHREADING,25,Mei Ling,2023-11-05,Takeshi Yamada,Client no-show,3
